,File,Energy inside GT,Pointing game,Head,Level
85,original_LS-188_3_1,0.32956814765930176,Hit,P3,LEVEL_I
86,original_LS-571_1_3,0.32643795013427734,Hit,P3,LEVEL_I
87,original_LS-366_2_4,0.035199373960494995,Miss,P3,LEVEL_I
88,original_LS-188_1_6,0.16949816048145294,Hit,P3,LEVEL_I
89,original_LS-257_2_4,0.7464445233345032,Hit,P3,LEVEL_I
90,original_LS-366_3_1,0.00242480356246233,Miss,P3,LEVEL_I
91,original_LS-571_2_3,0.3700103163719177,Hit,P3,LEVEL_I
92,original_LS-366_4_1,0.07068603485822678,Hit,P3,LEVEL_I
93,original_LS-366_1_5,0.1579168736934662,Hit,P3,LEVEL_I
94,original_LS-570_3_4,0.13698819279670715,Hit,P3,LEVEL_I
95,original_LS-366_1_7,0.19664184749126434,Miss,P3,LEVEL_I
96,original_LS-366_1_3,0.7552924752235413,Hit,P3,LEVEL_I
97,original_LS-366_0_3,0.0763113796710968,Hit,P3,LEVEL_I
98,original_LS-366_1_4,0.1992586851119995,Hit,P3,LEVEL_I
99,original_LS-541_3_3,0.8622110486030579,Hit,P3,LEVEL_II
100,original_LS-218_1_3,0.5304990410804749,Hit,P3,LEVEL_II
101,original_LS-168_3_3,0.008037117309868336,Miss,P3,LEVEL_II
102,original_LS-021_0_5,0.09646034985780716,Hit,P3,LEVEL_II
103,original_LS-276_1_0,0.011359169147908688,Miss,P3,LEVEL_II
104,original_LS-605_1_3,0.20829635858535767,Hit,P3,LEVEL_II
105,original_LS-021_1_2,0.12743985652923584,Hit,P3,LEVEL_II
106,original_LS-541_1_2,0.5168017148971558,Hit,P3,LEVEL_II
107,original_LS-218_1_2,0.7059745192527771,Hit,P3,LEVEL_II
108,original_LS-172_2_5,0.1988374888896942,Hit,P3,LEVEL_II
109,original_LS-021_1_1,0.14243298768997192,Hit,P3,LEVEL_II
110,original_LS-218_2_0,0.05529117211699486,Miss,P3,LEVEL_II
111,original_LS-541_2_3,0.9433128237724304,Hit,P3,LEVEL_II
112,original_LS-399_3_0,0.16768158972263336,Miss,P3,LEVEL_II
113,original_LS-168_0_1,0.032021667808294296,Hit,P3,LEVEL_II
114,original_LS-580_4_2,0.008715802803635597,Miss,P3,LEVEL_II
115,original_LS-172_1_4,0.20192338526248932,Miss,P3,LEVEL_II
116,original_LS-541_1_3,0.6343387961387634,Hit,P3,LEVEL_II
117,original_LS-172_2_2,0.16256962716579437,Hit,P3,LEVEL_II
118,original_LS-515_1_4,0.057759590446949005,Hit,P3,LEVEL_II
119,original_LS-172_1_5,0.25956085324287415,Hit,P3,LEVEL_II
120,original_LS-168_2_7,0.026203863322734833,Miss,P3,LEVEL_II
121,original_LS-506_5_2,0.039645690470933914,Miss,P3,LEVEL_II
122,original_LS-172_2_0,0.003979319240897894,Miss,P3,LEVEL_II
123,original_LS-399_1_4,0.03303997963666916,Miss,P3,LEVEL_II
124,original_LS-168_3_5,0.5132356882095337,Hit,P3,LEVEL_II
125,original_LS-541_1_4,0.7320294380187988,Hit,P3,LEVEL_II
126,original_LS-506_1_2,0.043719444423913956,Miss,P3,LEVEL_II
127,original_LS-172_0_3,0.03740944713354111,Hit,P3,LEVEL_II
128,original_LS-506_3_7,0.2263643741607666,Hit,P3,LEVEL_II
129,original_LS-276_2_7,0.1783195286989212,Hit,P3,LEVEL_II
130,original_LS-506_4_5,0.061746787279844284,Hit,P3,LEVEL_II
131,original_LS-276_2_3,0.4766950011253357,Hit,P3,LEVEL_II
132,original_LS-506_4_6,0.16476301848888397,Miss,P3,LEVEL_II
133,original_LS-608_4_7,0.04682478308677673,Miss,P3,LEVEL_II
134,original_LS-172_3_3,0.13634170591831207,Miss,P3,LEVEL_II
135,original_LS-399_2_2,0.4292305111885071,Hit,P3,LEVEL_II
136,original_LS-172_3_2,0.21326546370983124,Hit,P3,LEVEL_II
137,original_LS-605_2_3,0.577336311340332,Hit,P3,LEVEL_II
138,original_LS-541_4_0,0.005339966621249914,Miss,P3,LEVEL_II
139,original_LS-399_5_0,0.008958829566836357,Miss,P3,LEVEL_II
