,File,Energy inside Thyrocyte,Energy inside Confounder,Pointing game,Head,Level,Thyrocyte Count,Confounder Count
60,original_LS-115_1_6,0.0,0.28775376081466675,confounder,P3,LEVEL_I,0,7
61,original_LS-115_0_6,0.0,0.09966698288917542,confounder,P3,LEVEL_I,0,2
62,original_LS-567_1_2,0.0014508654130622745,0.11361752450466156,background,P3,LEVEL_I,8,16
63,original_LS-257_1_4,0.025822045281529427,0.13789759576320648,background,P3,LEVEL_I,10,11
64,original_LS-115_5_3,0.0,0.05254067853093147,confounder,P3,LEVEL_I,0,2
65,original_LS-567_5_1,0.0,0.05810504034161568,confounder,P3,LEVEL_I,0,1
66,original_LS-567_1_3,0.0,0.5844686627388,confounder,P3,LEVEL_I,0,25
67,original_LS-235_0_3,0.0,0.0815666988492012,background,P3,LEVEL_I,0,3
68,original_LS-115_1_2,0.0,0.1920483112335205,confounder,P3,LEVEL_I,0,7
69,original_LS-257_4_0,0.0,0.6722723245620728,confounder,P3,LEVEL_I,0,55
70,original_LS-310_3_2,0.003293677233159542,0.034611061215400696,confounder,P3,LEVEL_I,2,2
71,original_LS-235_1_0,0.0,0.5428348183631897,confounder,P3,LEVEL_I,0,5
72,original_LS-567_2_0,0.0,0.10184379667043686,confounder,P3,LEVEL_I,0,5
73,original_LS-235_3_6,0.0,0.15873047709465027,confounder,P3,LEVEL_I,0,3
74,original_LS-235_3_4,0.0,0.22689872980117798,confounder,P3,LEVEL_I,3,3
75,original_LS-310_2_3,0.8947053551673889,0.0065302555449306965,thyrocyte,P3,LEVEL_I,73,7
76,original_LS-235_4_3,0.0,0.16595180332660675,confounder,P3,LEVEL_I,0,4
77,original_LS-257_2_3,0.8438751697540283,0.014056788757443428,background,P3,LEVEL_I,52,12
78,original_LS-235_4_0,0.0,0.19571413099765778,confounder,P3,LEVEL_I,0,2
79,original_LS-010_0_1,0.0,0.6065225005149841,confounder,P3,LEVEL_I,0,2
80,original_LS-257_0_5,0.0,0.2723041772842407,confounder,P3,LEVEL_I,0,10
81,original_LS-010_2_5,0.0,0.0,background,P3,LEVEL_I,8,7
82,original_LS-010_3_0,0.0,0.12864744663238525,confounder,P3,LEVEL_I,0,3
83,original_LS-310_0_5,0.011638106778264046,0.8179981112480164,confounder,P3,LEVEL_I,3,30
84,original_LS-310_3_4,0.6426612138748169,0.0,thyrocyte,P3,LEVEL_I,9,0
85,original_LS-567_1_0,0.0,0.10928113758563995,confounder,P3,LEVEL_I,0,2
86,original_LS-257_1_6,0.0,0.7014106512069702,confounder,P3,LEVEL_I,1,8
87,original_LS-115_4_3,0.0,0.13560594618320465,confounder,P3,LEVEL_I,0,4
88,original_LS-115_4_5,0.0,0.19317646324634552,confounder,P3,LEVEL_I,0,7
89,original_LS-115_4_7,0.0,0.08851861208677292,confounder,P3,LEVEL_I,0,2
90,original_LS-257_5_0,0.0,0.17243525385856628,confounder,P3,LEVEL_I,0,10
91,original_LS-310_0_1,0.14288316667079926,1.0,confounder,P3,LEVEL_I,12,34
92,original_LS-310_4_2,0.0,0.06729388982057571,confounder,P3,LEVEL_I,1,2
93,original_LS-257_2_7,0.0,0.21651677787303925,confounder,P3,LEVEL_I,0,5
94,original_LS-115_0_4,0.0,0.2118300050497055,confounder,P3,LEVEL_I,0,5
95,original_LS-567_0_3,0.0,0.21322831511497498,confounder,P3,LEVEL_I,0,6
96,original_LS-310_1_3,0.0,0.0,background,P3,LEVEL_I,23,28
97,original_LS-567_2_6,0.007239264901727438,0.048908695578575134,background,P3,LEVEL_I,8,14
98,original_LS-115_0_7,0.0,0.09604985266923904,confounder,P3,LEVEL_I,0,2
99,original_LS-235_5_4,0.0,0.10320263355970383,confounder,P3,LEVEL_I,0,3
100,original_LS-010_4_6,0.0,0.0,background,P3,LEVEL_I,0,4
101,original_LS-235_2_4,0.34060385823249817,0.0,thyrocyte,P3,LEVEL_I,12,5
102,original_LS-257_5_5,0.0,0.10204008966684341,confounder,P3,LEVEL_I,0,5
103,original_LS-115_0_3,0.0,0.3032369613647461,confounder,P3,LEVEL_I,0,8
104,original_LS-310_0_2,0.09515407681465149,0.780792772769928,confounder,P3,LEVEL_I,14,28
105,original_LS-257_3_1,0.0,0.6413321495056152,confounder,P3,LEVEL_I,0,46
106,original_LS-115_3_5,0.0,0.2028900533914566,confounder,P3,LEVEL_I,0,8
107,original_LS-010_2_1,1.0,0.0,thyrocyte,P3,LEVEL_I,9,6
108,original_LS-010_0_0,0.0,0.03755028545856476,confounder,P3,LEVEL_I,0,2
109,original_LS-567_3_0,0.00995656754821539,0.30901795625686646,confounder,P3,LEVEL_I,1,8
110,original_LS-257_2_1,0.021489398553967476,0.8590299487113953,confounder,P3,LEVEL_I,1,74
111,original_LS-235_3_2,0.0,0.11462969332933426,confounder,P3,LEVEL_I,0,2
112,original_LS-235_2_0,0.0,0.3901713490486145,confounder,P3,LEVEL_I,0,6
113,original_LS-310_4_0,0.9848711490631104,0.0,thyrocyte,P3,LEVEL_I,5,0
114,original_LS-235_5_2,0.0,0.038469891995191574,confounder,P3,LEVEL_I,0,1
115,original_LS-567_3_1,0.0,0.25151416659355164,confounder,P3,LEVEL_I,0,11
116,original_LS-235_5_7,0.0,0.017843950539827347,background,P3,LEVEL_I,0,1
117,original_LS-257_0_7,0.0,0.3421710729598999,confounder,P3,LEVEL_I,0,10
118,original_LS-115_2_1,0.0,0.16251951456069946,confounder,P3,LEVEL_I,0,5
119,original_LS-010_0_3,0.0,0.23533473908901215,confounder,P3,LEVEL_I,0,2
120,original_LS-310_2_2,0.1933889538049698,0.9140508770942688,confounder,P3,LEVEL_I,11,21
121,original_LS-115_2_5,0.0,0.2824634313583374,confounder,P3,LEVEL_I,0,7
122,original_LS-010_5_4,0.0,0.0,background,P3,LEVEL_I,0,1
123,original_LS-567_4_5,0.0,0.15715046226978302,confounder,P3,LEVEL_I,0,4
124,original_LS-257_1_0,0.026666082441806793,0.8805029988288879,confounder,P3,LEVEL_I,2,62
