,File,Energy inside GT,Pointing game,Head,Level
85,original_LS-188_3_1,0.5278372168540955,Hit,P3,LEVEL_I
86,original_LS-571_1_3,0.1644284427165985,Hit,P3,LEVEL_I
87,original_LS-366_2_4,0.022494575008749962,Miss,P3,LEVEL_I
88,original_LS-188_1_6,0.33682942390441895,Hit,P3,LEVEL_I
89,original_LS-257_2_4,0.758589506149292,Hit,P3,LEVEL_I
90,original_LS-366_3_1,0.00018587942759040743,Miss,P3,LEVEL_I
91,original_LS-571_2_3,0.34483760595321655,Hit,P3,LEVEL_I
92,original_LS-366_4_1,0.021354811266064644,Miss,P3,LEVEL_I
93,original_LS-366_1_5,0.1302853673696518,Miss,P3,LEVEL_I
94,original_LS-570_3_4,0.07561640441417694,Hit,P3,LEVEL_I
95,original_LS-366_1_7,0.2034899890422821,Hit,P3,LEVEL_I
96,original_LS-366_1_3,0.31016460061073303,Miss,P3,LEVEL_I
97,original_LS-366_0_3,0.020129410549998283,Miss,P3,LEVEL_I
98,original_LS-366_1_4,0.14160601794719696,Hit,P3,LEVEL_I
99,original_LS-541_3_3,0.5046244859695435,Hit,P3,LEVEL_II
100,original_LS-218_1_3,0.46878281235694885,Hit,P3,LEVEL_II
101,original_LS-168_3_3,0.0004993363399989903,Miss,P3,LEVEL_II
102,original_LS-021_0_5,0.3177926242351532,Hit,P3,LEVEL_II
103,original_LS-276_1_0,0.005160114727914333,Miss,P3,LEVEL_II
104,original_LS-605_1_3,0.10670670121908188,Hit,P3,LEVEL_II
105,original_LS-021_1_2,0.2673966586589813,Hit,P3,LEVEL_II
106,original_LS-541_1_2,0.07453183829784393,Miss,P3,LEVEL_II
107,original_LS-218_1_2,0.6786449551582336,Hit,P3,LEVEL_II
108,original_LS-172_2_5,0.08880480378866196,Hit,P3,LEVEL_II
109,original_LS-021_1_1,0.27303120493888855,Hit,P3,LEVEL_II
110,original_LS-218_2_0,0.04043062776327133,Miss,P3,LEVEL_II
111,original_LS-541_2_3,0.9756304621696472,Hit,P3,LEVEL_II
112,original_LS-399_3_0,0.1400250494480133,Hit,P3,LEVEL_II
113,original_LS-168_0_1,0.025353725999593735,Hit,P3,LEVEL_II
114,original_LS-580_4_2,0.00722753070294857,Miss,P3,LEVEL_II
115,original_LS-172_1_4,0.4489841163158417,Hit,P3,LEVEL_II
116,original_LS-541_1_3,0.17428238689899445,Miss,P3,LEVEL_II
117,original_LS-172_2_2,0.1794174164533615,Hit,P3,LEVEL_II
118,original_LS-515_1_4,0.019007539376616478,Miss,P3,LEVEL_II
119,original_LS-172_1_5,0.36731982231140137,Hit,P3,LEVEL_II
120,original_LS-168_2_7,0.029667044058442116,Miss,P3,LEVEL_II
121,original_LS-506_5_2,0.012057621963322163,Miss,P3,LEVEL_II
122,original_LS-172_2_0,0.00390995666384697,Miss,P3,LEVEL_II
123,original_LS-399_1_4,0.014585473574697971,Miss,P3,LEVEL_II
124,original_LS-168_3_5,0.5292941331863403,Hit,P3,LEVEL_II
125,original_LS-541_1_4,0.2380542904138565,Miss,P3,LEVEL_II
126,original_LS-506_1_2,0.05645490437746048,Miss,P3,LEVEL_II
127,original_LS-172_0_3,0.0971720814704895,Hit,P3,LEVEL_II
128,original_LS-506_3_7,0.10950324684381485,Miss,P3,LEVEL_II
129,original_LS-276_2_7,0.038516927510499954,Miss,P3,LEVEL_II
130,original_LS-506_4_5,0.06942614167928696,Hit,P3,LEVEL_II
131,original_LS-276_2_3,0.12660278379917145,Miss,P3,LEVEL_II
132,original_LS-506_4_6,0.24628493189811707,Hit,P3,LEVEL_II
133,original_LS-608_4_7,0.032160110771656036,Hit,P3,LEVEL_II
134,original_LS-172_3_3,0.060716547071933746,Miss,P3,LEVEL_II
135,original_LS-399_2_2,0.3033176064491272,Miss,P3,LEVEL_II
136,original_LS-172_3_2,0.057357918471097946,Miss,P3,LEVEL_II
137,original_LS-605_2_3,0.5486732721328735,Hit,P3,LEVEL_II
138,original_LS-541_4_0,0.0019464200595393777,Miss,P3,LEVEL_II
139,original_LS-399_5_0,0.0005920631811022758,Miss,P3,LEVEL_II
140,original_LS-218_4_3,0.19292829930782318,Miss,P3,LEVEL_II
141,original_LS-218_3_4,0.6910040378570557,Hit,P3,LEVEL_II
142,original_LS-608_1_6,0.23415611684322357,Hit,P3,LEVEL_II
143,original_LS-172_3_1,0.032394517213106155,Miss,P3,LEVEL_II
144,original_LS-399_3_2,0.23918358981609344,Miss,P3,LEVEL_II
145,original_LS-021_1_4,0.46114641427993774,Hit,P3,LEVEL_II
146,original_LS-168_0_2,0.04283243790268898,Hit,P3,LEVEL_II
147,original_LS-276_2_5,0.011097927577793598,Miss,P3,LEVEL_II
148,original_LS-021_1_3,0.2858276665210724,Hit,P3,LEVEL_II
149,original_LS-168_1_5,0.05547923594713211,Hit,P3,LEVEL_II
150,original_LS-541_2_2,0.5259584784507751,Miss,P3,LEVEL_II
151,original_LS-605_2_2,0.10188930481672287,Hit,P3,LEVEL_II
152,original_LS-218_4_4,0.23803412914276123,Hit,P3,LEVEL_II
153,original_LS-506_0_2,0.44965171813964844,Hit,P3,LEVEL_II
154,original_LS-541_4_3,0.04501557722687721,Miss,P3,LEVEL_II
155,original_LS-168_2_6,0.515497088432312,Hit,P3,LEVEL_II
156,original_LS-218_1_0,0.24474115669727325,Hit,P3,LEVEL_II
157,original_LS-172_2_3,0.2711215317249298,Miss,P3,LEVEL_II
158,original_LS-218_2_1,0.14178454875946045,Miss,P3,LEVEL_II
159,original_LS-276_2_0,0.02297963760793209,Miss,P3,LEVEL_II
160,original_LS-021_2_2,0.5108948349952698,Hit,P3,LEVEL_II
161,original_LS-605_1_4,0.07821445167064667,Miss,P3,LEVEL_II
162,original_LS-580_3_3,0.16513197124004364,Hit,P3,LEVEL_II
163,original_LS-608_4_1,0.059667088091373444,Miss,P3,LEVEL_II
164,original_LS-172_3_5,0.05266635864973068,Miss,P3,LEVEL_II
165,original_LS-541_1_7,0.0061864242888987064,Miss,P3,LEVEL_II
166,original_LS-506_0_3,0.11525795608758926,Hit,P3,LEVEL_II
167,original_LS-021_3_4,0.10436249524354935,Hit,P3,LEVEL_II
168,original_LS-276_3_1,0.022455425933003426,Miss,P3,LEVEL_II
169,original_LS-541_3_5,7.868567627156153e-05,Miss,P3,LEVEL_II
170,original_LS-021_4_2,0.01947011426091194,Miss,P3,LEVEL_II
171,original_LS-506_0_1,0.12838982045650482,Hit,P3,LEVEL_II
172,original_LS-608_5_2,0.051868122071027756,Miss,P3,LEVEL_II
173,original_LS-172_2_1,0.17840856313705444,Hit,P3,LEVEL_II
174,original_LS-506_2_5,0.0542423352599144,Hit,P3,LEVEL_II
175,original_LS-506_3_4,0.06133380904793739,Hit,P3,LEVEL_II
176,original_LS-399_2_1,0.06096740439534187,Miss,P3,LEVEL_II
177,original_LS-608_0_3,0.21578988432884216,Hit,P3,LEVEL_II
178,original_LS-541_2_1,0.06207284703850746,Miss,P3,LEVEL_II
179,original_LS-021_1_6,0.5233504176139832,Hit,P3,LEVEL_II
180,original_LS-168_2_1,0.08414718508720398,Hit,P3,LEVEL_II
181,original_LS-172_0_4,0.05821941792964935,Hit,P3,LEVEL_II
182,original_LS-541_3_2,0.8271142840385437,Hit,P3,LEVEL_II
183,original_LS-218_3_5,0.7096394896507263,Hit,P3,LEVEL_II
184,original_LS-021_3_3,0.3626824915409088,Hit,P3,LEVEL_II
