,File,Energy inside GT,Pointing game,Head,Level
85,original_LS-188_3_1,0.3070628046989441,Hit,P3,LEVEL_I
86,original_LS-571_1_3,0.15369579195976257,Hit,P3,LEVEL_I
87,original_LS-366_2_4,0.02642677165567875,Miss,P3,LEVEL_I
88,original_LS-188_1_6,0.16913479566574097,Hit,P3,LEVEL_I
89,original_LS-257_2_4,0.6108672022819519,Hit,P3,LEVEL_I
90,original_LS-366_3_1,0.0012402557767927647,Miss,P3,LEVEL_I
91,original_LS-571_2_3,0.32398149371147156,Hit,P3,LEVEL_I
92,original_LS-366_4_1,0.08420516550540924,Hit,P3,LEVEL_I
93,original_LS-366_1_5,0.15952713787555695,Hit,P3,LEVEL_I
94,original_LS-570_3_4,0.12333511561155319,Hit,P3,LEVEL_I
95,original_LS-366_1_7,0.2411772757768631,Hit,P3,LEVEL_I
96,original_LS-366_1_3,0.6114428639411926,Hit,P3,LEVEL_I
97,original_LS-366_0_3,0.047329917550086975,Miss,P3,LEVEL_I
98,original_LS-366_1_4,0.27241209149360657,Hit,P3,LEVEL_I
99,original_LS-541_3_3,0.5953556299209595,Miss,P3,LEVEL_II
100,original_LS-218_1_3,0.4756600856781006,Hit,P3,LEVEL_II
101,original_LS-168_3_3,0.015046432614326477,Miss,P3,LEVEL_II
102,original_LS-021_0_5,0.07734833657741547,Miss,P3,LEVEL_II
103,original_LS-276_1_0,0.04806092754006386,Miss,P3,LEVEL_II
104,original_LS-605_1_3,0.16462410986423492,Hit,P3,LEVEL_II
105,original_LS-021_1_2,0.08704804629087448,Miss,P3,LEVEL_II
106,original_LS-541_1_2,0.16331887245178223,Miss,P3,LEVEL_II
107,original_LS-218_1_2,0.6475827693939209,Hit,P3,LEVEL_II
108,original_LS-172_2_5,0.2513330578804016,Miss,P3,LEVEL_II
109,original_LS-021_1_1,0.08891934156417847,Miss,P3,LEVEL_II
110,original_LS-218_2_0,0.04532836750149727,Miss,P3,LEVEL_II
111,original_LS-541_2_3,0.8694364428520203,Hit,P3,LEVEL_II
112,original_LS-399_3_0,0.15037314593791962,Miss,P3,LEVEL_II
113,original_LS-168_0_1,0.019521944224834442,Miss,P3,LEVEL_II
114,original_LS-580_4_2,0.0013788137584924698,Miss,P3,LEVEL_II
115,original_LS-172_1_4,0.19828422367572784,Hit,P3,LEVEL_II
116,original_LS-541_1_3,0.3221747577190399,Miss,P3,LEVEL_II
117,original_LS-172_2_2,0.22048626840114594,Hit,P3,LEVEL_II
