,File,Energy inside Thyrocyte,Energy inside Confounder,Pointing game,Head,Level,Thyrocyte Count,Confounder Count
60,original_LS-115_1_6,0.0,0.1280161589384079,background,P3,LEVEL_I,0,7
61,original_LS-115_0_6,0.0,0.053822606801986694,background,P3,LEVEL_I,0,2
62,original_LS-567_1_2,0.005382218863815069,0.10391347110271454,background,P3,LEVEL_I,8,16
63,original_LS-257_1_4,0.018270689994096756,0.010465994477272034,background,P3,LEVEL_I,10,11
64,original_LS-115_5_3,0.0,0.037294186651706696,confounder,P3,LEVEL_I,0,2
65,original_LS-567_5_1,0.0,0.03881353884935379,confounder,P3,LEVEL_I,0,1
66,original_LS-567_1_3,0.0,0.33457744121551514,background,P3,LEVEL_I,0,25
67,original_LS-235_0_3,0.0,0.0577559731900692,background,P3,LEVEL_I,0,3
68,original_LS-115_1_2,0.0,0.10799013078212738,background,P3,LEVEL_I,0,7
69,original_LS-257_4_0,0.0,0.3164985179901123,background,P3,LEVEL_I,0,55
70,original_LS-310_3_2,0.0023226472549140453,0.016860095784068108,background,P3,LEVEL_I,2,2
71,original_LS-235_1_0,0.0,0.23459067940711975,confounder,P3,LEVEL_I,0,5
72,original_LS-567_2_0,0.0,0.06660014390945435,background,P3,LEVEL_I,0,5
73,original_LS-235_3_6,0.0,0.0856812596321106,background,P3,LEVEL_I,0,3
74,original_LS-235_3_4,0.04600859433412552,0.0004765666089951992,background,P3,LEVEL_I,3,3
75,original_LS-310_2_3,0.4144766330718994,0.003485460765659809,thyrocyte,P3,LEVEL_I,73,7
76,original_LS-235_4_3,0.0,0.11983969062566757,confounder,P3,LEVEL_I,0,4
77,original_LS-257_2_3,0.6996063590049744,0.05019715428352356,background,P3,LEVEL_I,52,12
78,original_LS-235_4_0,0.0,0.10356533527374268,confounder,P3,LEVEL_I,0,2
79,original_LS-010_0_1,0.0,0.02822674997150898,background,P3,LEVEL_I,0,2
80,original_LS-257_0_5,0.0,0.11707229167222977,background,P3,LEVEL_I,0,10
81,original_LS-010_2_5,0.025022173300385475,0.03087935969233513,background,P3,LEVEL_I,8,7
82,original_LS-010_3_0,0.0,0.07387371361255646,confounder,P3,LEVEL_I,0,3
