,File,Energy inside Thyrocyte,Energy inside Confounder,Pointing game,Head,Level,Thyrocyte Count,Confounder Count
1548,original_LS-527_1_5,0.38821083307266235,5.3294343160814606e-06,thyrocyte,P3,LEVEL_IV,19,3
1549,original_LS-493_2_1,0.6345760822296143,0.06444006413221359,background,P3,LEVEL_IV,21,45
1550,original_LS-532_4_5,0.7982043623924255,0.007439352571964264,thyrocyte,P3,LEVEL_IV,32,9
1551,original_LS-439_0_0,0.06509789079427719,0.0,background,P3,LEVEL_IV,14,0
1552,original_LS-288_0_4,0.00043228245340287685,0.03959355503320694,background,P3,LEVEL_IV,2,2
1553,original_LS-456_1_6,0.0,0.060081951320171356,background,P3,LEVEL_IV,0,3
1554,original_LS-558_2_3,0.0,0.39632338285446167,confounder,P3,LEVEL_IV,0,20
1555,original_LS-504_0_7,0.0,0.20557793974876404,background,P3,LEVEL_IV,0,16
1556,original_LS-421_5_0,0.0,0.029095811769366264,background,P3,LEVEL_IV,0,2
1557,original_LS-493_1_4,0.0,0.08790887147188187,background,P3,LEVEL_IV,0,15
1558,original_LS-421_0_3,0.0,0.05754502862691879,background,P3,LEVEL_IV,0,3
1559,original_LS-153_2_7,0.3880206346511841,0.0,thyrocyte,P3,LEVEL_IV,7,0
1560,original_LS-421_0_4,0.0,0.013888217508792877,background,P3,LEVEL_IV,0,1
1561,original_LS-493_0_3,0.0,0.286588191986084,confounder,P3,LEVEL_IV,0,34
1562,original_LS-153_3_3,0.7339954972267151,0.0,thyrocyte,P3,LEVEL_IV,26,0
1563,original_LS-504_0_1,0.0,0.05942083150148392,background,P3,LEVEL_IV,0,5
1564,original_LS-207_4_7,0.4898185729980469,0.025778481736779213,thyrocyte,P3,LEVEL_IV,10,8
1565,original_LS-504_1_5,0.0,0.2383282482624054,confounder,P3,LEVEL_IV,0,19
1566,original_LS-037_2_7,0.0,0.03440358489751816,background,P3,LEVEL_IV,0,1
1567,original_LS-475_2_0,0.03390461206436157,0.3235766291618347,background,P3,LEVEL_IV,17,27
1568,original_LS-207_5_6,0.16485275328159332,0.0074410769157111645,thyrocyte,P3,LEVEL_IV,10,3
1569,original_LS-527_0_7,0.0,0.05081677436828613,background,P3,LEVEL_IV,0,4
1570,original_LS-532_2_2,0.7407557964324951,0.007256113924086094,thyrocyte,P3,LEVEL_IV,50,4
1571,original_LS-439_1_6,0.9732325673103333,0.0,thyrocyte,P3,LEVEL_IV,124,0
1572,original_LS-558_4_2,0.3784271776676178,0.058195989578962326,thyrocyte,P3,LEVEL_IV,12,9
1573,original_LS-532_4_2,0.9334749579429626,0.0,thyrocyte,P3,LEVEL_IV,99,0
1574,original_LS-558_1_7,0.00036732287844642997,0.11514248698949814,background,P3,LEVEL_IV,3,6
1575,original_LS-288_4_4,0.004406615160405636,0.0,background,P3,LEVEL_IV,7,0
1576,original_LS-037_4_2,0.0,0.02000677026808262,background,P3,LEVEL_IV,0,2
1577,original_LS-022_2_8,0.0,0.0016020614420995116,background,P3,LEVEL_IV,0,1
1578,original_LS-288_2_2,0.0,0.0,background,P3,LEVEL_IV,63,0
1579,original_LS-153_2_5,0.7802078127861023,0.0,thyrocyte,P3,LEVEL_IV,32,0
1580,original_LS-456_3_3,7.08836960257031e-05,0.04801761358976364,background,P3,LEVEL_IV,1,3
1581,original_LS-016_4_7,0.0,0.034019362181425095,background,P3,LEVEL_IV,0,2
1582,original_LS-527_2_3,0.1490875631570816,0.0,background,P3,LEVEL_IV,18,0
1583,original_LS-527_0_3,0.5159174203872681,0.010608644224703312,thyrocyte,P3,LEVEL_IV,13,9
1584,original_LS-207_5_7,0.1793563961982727,0.004902641288936138,thyrocyte,P3,LEVEL_IV,8,2
1585,original_LS-527_3_3,0.13787274062633514,0.0,thyrocyte,P3,LEVEL_IV,18,0
1586,original_LS-016_2_2,0.5336138010025024,0.00027739492361433804,background,P3,LEVEL_IV,8,1
1587,original_LS-558_3_5,0.3612608015537262,0.025501813739538193,background,P3,LEVEL_IV,14,8
1588,original_LS-421_2_3,0.31882548332214355,0.0034817794803529978,thyrocyte,P3,LEVEL_IV,18,1
1589,original_LS-022_5_8,0.0,0.0011205484624952078,background,P3,LEVEL_IV,0,1
1590,original_LS-558_5_5,0.0,0.036550845950841904,background,P3,LEVEL_IV,0,4
1591,original_LS-037_3_2,0.0,0.00018880430434364825,background,P3,LEVEL_IV,0,1
1592,original_LS-493_1_2,0.5662682056427002,0.07227081805467606,background,P3,LEVEL_IV,35,36
1593,original_LS-016_1_2,0.0009283900144509971,0.02438485436141491,background,P3,LEVEL_IV,1,1
1594,original_LS-207_5_2,0.01398120541125536,0.03025989979505539,thyrocyte,P3,LEVEL_IV,3,1
1595,original_LS-421_4_7,0.0,0.02831507846713066,background,P3,LEVEL_IV,0,2
1596,original_LS-022_3_1,0.0,0.010697055608034134,background,P3,LEVEL_IV,0,1
1597,original_LS-439_3_8,6.229774589883164e-05,0.0,background,P3,LEVEL_IV,3,0
1598,original_LS-504_0_4,0.0,0.12586906552314758,background,P3,LEVEL_IV,0,8
1599,original_LS-037_4_7,0.0,0.006528798025101423,background,P3,LEVEL_IV,0,1
1600,original_LS-439_3_2,0.49732646346092224,0.0,thyrocyte,P3,LEVEL_IV,25,0
1601,original_LS-207_0_3,0.0,0.0,background,P3,LEVEL_IV,1,3
1602,original_LS-207_2_7,0.4661616384983063,0.09875468909740448,thyrocyte,P3,LEVEL_IV,3,10
1603,original_LS-527_3_6,0.7305464148521423,1.7688062143861316e-05,thyrocyte,P3,LEVEL_IV,27,2
1604,original_LS-493_1_1,0.5942515134811401,0.08741261810064316,thyrocyte,P3,LEVEL_IV,32,47
1605,original_LS-288_1_3,0.8599194288253784,0.06258496642112732,thyrocyte,P3,LEVEL_IV,44,4
1606,original_LS-504_3_6,0.0,0.09769440442323685,background,P3,LEVEL_IV,0,7
1607,original_LS-439_1_3,0.6783235669136047,0.004713943228125572,thyrocyte,P3,LEVEL_IV,55,1
1608,original_LS-022_5_4,0.0,0.01081652007997036,background,P3,LEVEL_IV,0,1
1609,original_LS-439_0_6,0.8750864267349243,0.0,thyrocyte,P3,LEVEL_IV,82,0
1610,original_LS-504_1_1,0.0,0.12906859815120697,background,P3,LEVEL_IV,0,11
1611,original_LS-527_1_3,0.4307158589363098,0.00010466715320944786,background,P3,LEVEL_IV,28,1
1612,original_LS-421_5_2,0.0,0.017155146226286888,background,P3,LEVEL_IV,0,1
1613,original_LS-532_0_5,0.8238489031791687,0.0037763863801956177,thyrocyte,P3,LEVEL_IV,82,3
1614,original_LS-456_4_4,0.0,0.006877628155052662,background,P3,LEVEL_IV,0,1
1615,original_LS-288_3_1,0.23462656140327454,0.021189603954553604,background,P3,LEVEL_IV,7,3
